,0,1,2,5,6,7,8,Body_type,Body_type_id,Skin_condition_level
128,129,1,29,17,23,19,13,invertedtriangle,6,1
129,130,1,55,15,24,60,14,rectangle,7,2
130,131,2,25,11,14,10,19,triangle,4,1
131,132,2,33,12,13,20,13,rectangle,7,3
132,133,1,39,14,14,21,19,round,5,2
133,134,1,17,10,9,18,20,round,5,2
134,135,1,22,11,16,19,21,round,5,1
135,136,1,25,14,12,20,22,round,5,1
136,137,1,32,19,14,21,21,rectangle,7,3
137,138,2,39,11,18,21,19,round,5,2
138,139,1,49,16,20,10,14,rectangle,7,2
139,140,2,26,13,11,17,17,round,5,2
140,141,2,44,10,19,31,16,round,5,2
141,142,1,25,7,10,29,14,round,5,1
142,143,1,15,9,9,12,15,round,5,1
143,144,2,50,10,20,52,36,round,5,3
144,145,2,42,11,19,40,44,round,5,1
145,146,1,20,17,15,14,15,rectangle,7,3
146,147,1,31,20,15,21,22,rectangle,7,2
147,148,1,19,16,9,9,14,rectangle,7,1
148,149,2,24,21,10,10,30,bottomhourglass,2,2
149,150,2,27,17,12,11,18,rectangle,7,3
150,151,2,29,19,14,12,19,rectangle,7,1
151,152,2,30,18,16,16,20,rectangle,7,2
152,153,1,31,18,18,23,18,rectangle,7,1
153,154,2,28,16,12,24,17,rectangle,7,2
154,155,1,23,18,11,19,14,invertedtriangle,6,3
155,156,2,29,19,16,21,18,rectangle,7,3
156,157,1,35,20,15,18,19,rectangle,7,1
157,158,1,18,21,17,20,20,rectangle,7,2
158,159,1,20,20,12,21,21,rectangle,7,1
159,160,1,35,18,19,18,22,round,5,2
160,161,1,32,20,16,20,18,rectangle,7,3
161,162,1,31,18,17,21,19,rectangle,7,1
162,163,2,20,19,14,18,17,rectangle,7,3
163,164,2,19,20,10,18,20,rectangle,7,3
164,165,1,18,16,19,19,21,round,5,2
165,166,2,24,18,15,29,22,round,5,3
166,167,2,22,19,14,22,20,rectangle,7,2
167,168,1,21,18,13,14,18,rectangle,7,1
168,169,2,26,18,10,17,17,rectangle,7,3
169,170,1,18,17,11,16,15,rectangle,7,2
170,171,1,27,17,13,19,14,rectangle,7,3
171,172,1,29,18,12,20,20,rectangle,7,3
172,173,1,30,18,12,19,19,rectangle,7,3
173,174,1,20,20,17,20,18,rectangle,7,3
174,175,1,5,14,13,13,12,rectangle,7,2
175,176,2,25,20,16,20,20,rectangle,7,1
176,177,2,3,14,15,8,7,invertedtriangle,6,1
177,178,2,7,15,21,14,12,rectangle,7,2
178,179,1,50,19,13,27,30,round,5,1
179,180,1,16,16,21,15,16,rectangle,7,3
180,181,1,5,11,14,6,8,rectangle,7,3
181,182,1,20,16,11,20,20,round,5,1
182,183,1,4,12,16,8,7,invertedtriangle,6,1
183,184,1,23,9,8,20,10,rectangle,7,3
184,185,1,17,8,7,7,11,rectangle,7,2
185,186,1,13,7,9,10,14,round,5,2
186,187,2,18,10,6,9,11,rectangle,7,3
187,188,2,2,6,7,11,7,rectangle,7,3
188,189,2,3,8,5,9,7,rectangle,7,3
189,190,2,7,10,6,7,12,rectangle,7,3
190,191,2,14,7,9,9,10,rectangle,7,1
191,192,1,20,7,11,10,10,rectangle,7,3
192,193,1,31,10,9,11,10,rectangle,7,3
193,194,1,12,9,6,11,10,rectangle,7,2
194,195,1,6,8,9,10,10,rectangle,7,1
195,196,1,3,10,10,6,12,rectangle,7,2
196,197,1,27,11,11,10,14,rectangle,7,1
197,198,1,26,12,12,11,12,rectangle,7,3
198,199,1,36,13,11,7,13,rectangle,7,1
