,0,1,2,5,6,7,8,Body_type,Body_type_id,Skin_condition_level
577,578,1,4,11,19,10,10,rectangle,7,3
578,579,1,4,13,19,10,11,rectangle,7,2
579,580,2,3,10,18,10,11,rectangle,7,3
580,581,2,3,10,18,9,11,rectangle,7,2
581,582,2,3,11,19,9,11,rectangle,7,1
582,583,2,3,12,20,10,11,rectangle,7,3
583,584,1,3,11,20,9,10,rectangle,7,3
584,585,2,4,10,19,10,10,rectangle,7,3
585,586,2,4,12,19,9,11,rectangle,7,2
586,587,2,13,14,23,13,15,rectangle,7,3
587,588,2,14,15,25,12,16,rectangle,7,3
588,589,2,16,15,24,12,14,rectangle,7,1
589,590,2,15,15,24,13,13,rectangle,7,2
590,591,1,17,16,27,14,17,rectangle,7,2
591,592,2,10,14,21,10,11,rectangle,7,1
592,593,2,15,14,24,13,14,rectangle,7,3
593,594,2,17,14,24,13,14,rectangle,7,1
594,595,2,16,15,26,13,16,rectangle,7,2
595,596,2,18,18,25,15,17,rectangle,7,3
596,597,2,19,21,29,16,18,rectangle,7,3
597,598,1,6,12,20,9,13,rectangle,7,1
598,599,1,6,13,19,9,12,rectangle,7,3
599,600,1,7,14,22,10,13,rectangle,7,3
600,601,1,5,10,21,20,9,rectangle,7,1
601,602,1,7,12,22,23,13,rectangle,7,3
602,603,1,6,10,22,22,12,rectangle,7,3
603,604,2,6,11,21,11,10,rectangle,7,2
604,605,1,6,12,21,11,12,rectangle,7,3
605,606,2,8,11,23,13,13,rectangle,7,3
606,607,2,6,10,20,11,10,rectangle,7,3
607,608,2,6,10,22,12,11,rectangle,7,1
608,609,2,7,12,23,13,12,rectangle,7,3
609,610,2,6,12,21,13,12,rectangle,7,3
610,611,2,7,13,22,13,12,rectangle,7,1
611,612,2,6,12,20,11,11,rectangle,7,3
612,613,1,7,13,21,12,12,rectangle,7,3
613,614,2,6,11,19,12,11,rectangle,7,3
614,615,2,7,12,23,13,13,rectangle,7,3
615,616,2,7,12,20,12,12,rectangle,7,1
616,617,1,7,13,23,12,13,rectangle,7,2
617,618,1,6,11,20,13,11,rectangle,7,2
618,619,2,5,12,20,12,11,rectangle,7,2
619,620,2,5,12,23,13,12,rectangle,7,3
620,621,1,5,11,21,11,11,rectangle,7,1
621,622,1,6,11,20,12,11,rectangle,7,3
622,623,1,7,13,23,13,12,rectangle,7,3
623,624,1,11,12,23,13,12,rectangle,7,3
624,625,1,5,10,21,11,11,rectangle,7,1
625,626,1,4,13,23,13,12,rectangle,7,2
626,627,1,5,10,10,11,10,rectangle,7,2
627,628,2,6,11,20,11,11,rectangle,7,3
628,629,2,7,12,22,13,11,rectangle,7,3
629,630,2,8,10,23,11,13,rectangle,7,1
630,631,2,10,13,24,12,15,rectangle,7,3
631,632,2,10,12,22,11,14,rectangle,7,2
632,633,2,10,13,23,11,14,rectangle,7,3
633,634,2,11,13,24,12,14,rectangle,7,3
634,635,2,11,13,24,12,12,rectangle,7,3
635,636,2,13,12,24,12,14,rectangle,7,2
636,637,2,11,13,24,10,14,rectangle,7,2
637,638,2,12,14,26,12,17,rectangle,7,2
638,639,2,11,12,21,10,12,rectangle,7,1
639,640,1,13,13,23,13,16,rectangle,7,3
640,641,1,12,13,23,12,14,rectangle,7,1
641,642,1,10,12,23,12,12,rectangle,7,3
642,643,1,13,14,23,14,13,rectangle,7,3
643,644,1,12,12,23,12,13,rectangle,7,1
644,645,1,11,12,23,10,11,rectangle,7,2
645,646,1,9,12,24,13,12,rectangle,7,2
646,647,1,10,11,24,10,17,triangle,4,3
647,648,1,7,9,22,9,13,round,5,3
648,649,2,8,11,21,10,13,rectangle,7,1
649,650,2,10,13,24,10,17,triangle,4,3
650,651,1,13,11,22,10,16,round,5,2
651,652,1,12,12,24,11,15,rectangle,7,3
652,653,2,10,11,21,11,14,rectangle,7,2
653,654,2,7,9,20,9,10,rectangle,7,1
654,655,1,5,9,20,8,10,rectangle,7,1
655,656,1,5,9,20,8,10,rectangle,7,2
656,657,2,4,9,20,8,13,round,5,3
657,658,2,8,13,23,13,13,rectangle,7,3
658,659,2,8,12,22,11,10,rectangle,7,3
659,660,2,10,13,23,12,11,rectangle,7,1
660,661,2,8,11,22,11,10,rectangle,7,3
661,662,2,8,11,22,11,11,rectangle,7,3
662,663,2,7,11,20,10,10,rectangle,7,1
663,664,2,7,11,23,11,11,rectangle,7,2
664,665,2,9,13,24,12,12,rectangle,7,2
665,666,2,11,13,21,10,10,rectangle,7,1
666,667,2,10,12,21,12,12,rectangle,7,3
667,668,2,11,14,23,12,12,rectangle,7,1
668,669,2,13,13,24,12,11,rectangle,7,2
669,670,1,12,12,23,11,12,rectangle,7,1
670,671,1,12,12,23,12,12,rectangle,7,3
671,672,1,12,13,22,12,12,rectangle,7,2
672,673,1,12,14,23,12,12,rectangle,7,3
673,674,1,11,12,23,11,11,rectangle,7,3
674,675,1,14,13,24,10,11,rectangle,7,3
675,676,1,8,11,22,9,11,rectangle,7,1
676,677,1,5,11,22,8,8,rectangle,7,2
677,678,2,7,8,20,11,10,rectangle,7,2
678,679,2,7,12,21,13,12,rectangle,7,2
679,680,2,7,12,23,13,12,rectangle,7,2
680,681,1,11,13,23,13,11,rectangle,7,3
681,682,1,7,12,23,11,12,rectangle,7,1
682,683,2,6,12,20,12,11,rectangle,7,2
683,684,1,7,13,21,12,12,rectangle,7,3
684,685,1,8,11,20,20,12,rectangle,7,2
685,686,1,5,10,21,12,9,rectangle,7,3
686,687,1,8,11,23,13,13,rectangle,7,1
687,688,2,6,11,21,22,24,round,5,3
688,689,2,4,11,22,22,22,round,5,2
689,690,1,12,12,23,26,27,round,5,1
690,691,1,15,15,23,17,24,triangle,4,1
691,692,1,13,15,22,24,25,round,5,2
692,693,1,12,12,26,11,14,rectangle,7,1
693,694,1,11,11,22,12,14,rectangle,7,1
694,695,1,13,14,22,13,28,triangle,4,1
695,696,2,7,11,23,23,23,round,5,2
696,697,2,5,10,21,21,23,round,5,1
697,698,2,7,9,19,21,21,round,5,1
698,699,1,5,9,10,21,21,round,5,1
699,700,2,7,11,20,22,21,round,5,1
700,701,2,6,10,21,21,20,round,5,2
701,702,2,7,10,20,21,20,round,5,3
702,703,2,5,12,21,21,26,round,5,1
703,704,2,5,11,21,21,23,round,5,3
704,705,2,6,11,20,22,24,round,5,1
705,706,1,17,14,26,25,18,round,5,1
706,707,2,5,11,22,23,23,round,5,3
707,708,1,13,12,22,14,29,triangle,4,2
708,709,2,2,8,20,19,20,round,5,3
709,710,1,10,12,22,14,29,triangle,4,3
710,711,2,10,12,22,24,26,round,5,1
711,712,2,13,14,25,18,30,triangle,4,1
712,713,1,10,12,22,2,26,triangle,4,3
713,714,1,4,11,22,22,22,round,5,2
714,715,1,13,14,25,18,30,triangle,4,2
715,716,2,4,10,20,20,21,round,5,1
